audio_id,word,start,end,duration,text,label
1209,The,0.0,0.08,0.08,The marketing team and the sales department let in the strategy meeting.,2
1209,marketing,0.08,0.3,0.21999999999999997,The marketing team and the sales department let in the strategy meeting.,2
1209,team,0.3,0.64,0.34,The marketing team and the sales department let in the strategy meeting.,2
1209,and,0.64,0.8,0.16000000000000003,The marketing team and the sales department let in the strategy meeting.,2
1209,the,0.8,0.88,0.07999999999999996,The marketing team and the sales department let in the strategy meeting.,2
1209,sales,0.88,1.08,0.20000000000000007,The marketing team and the sales department let in the strategy meeting.,2
1209,department,1.08,1.56,0.48,The marketing team and the sales department let in the strategy meeting.,2
1209,let,1.56,1.78,0.21999999999999997,The marketing team and the sales department let in the strategy meeting.,2
1209,in,1.78,2.0,0.21999999999999997,The marketing team and the sales department let in the strategy meeting.,2
1209,the,2.0,2.12,0.1200000000000001,The marketing team and the sales department let in the strategy meeting.,2
1209,strategy,2.12,2.46,0.33999999999999986,The marketing team and the sales department let in the strategy meeting.,2
1209,meeting.,2.46,2.88,0.41999999999999993,The marketing team and the sales department let in the strategy meeting.,2
1065,The,0.0,0.12,0.12,The teacher explained the project would be due at the end of the month.,2
1065,teacher,0.12,0.4,0.28,The teacher explained the project would be due at the end of the month.,2
1065,explained,0.4,0.86,0.45999999999999996,The teacher explained the project would be due at the end of the month.,2
1065,the,0.86,1.02,0.16000000000000003,The teacher explained the project would be due at the end of the month.,2
1065,project,1.02,1.36,0.3400000000000001,The teacher explained the project would be due at the end of the month.,2
1065,would,1.36,1.58,0.21999999999999997,The teacher explained the project would be due at the end of the month.,2
1065,be,1.58,1.74,0.15999999999999992,The teacher explained the project would be due at the end of the month.,2
1065,due,1.74,1.88,0.1399999999999999,The teacher explained the project would be due at the end of the month.,2
1065,at,1.88,2.02,0.14000000000000012,The teacher explained the project would be due at the end of the month.,2
1065,the,2.02,2.1,0.08000000000000007,The teacher explained the project would be due at the end of the month.,2
1065,end,2.1,2.26,0.1599999999999997,The teacher explained the project would be due at the end of the month.,2
1065,of,2.26,2.38,0.1200000000000001,The teacher explained the project would be due at the end of the month.,2
1065,the,2.38,2.5,0.1200000000000001,The teacher explained the project would be due at the end of the month.,2
1065,month.,2.5,2.72,0.2200000000000002,The teacher explained the project would be due at the end of the month.,2
1136,The,0.0,0.14,0.14,The students were excited about the coming field trip to the museum.,2
1136,students,0.14,0.46,0.32,The students were excited about the coming field trip to the museum.,2
1136,were,0.46,0.72,0.25999999999999995,The students were excited about the coming field trip to the museum.,2
1136,excited,0.72,1.04,0.32000000000000006,The students were excited about the coming field trip to the museum.,2
1136,about,1.04,1.3,0.26,The students were excited about the coming field trip to the museum.,2
1136,the,1.3,1.42,0.11999999999999988,The students were excited about the coming field trip to the museum.,2
1136,coming,1.42,1.68,0.26,The students were excited about the coming field trip to the museum.,2
1136,field,1.68,1.96,0.28,The students were excited about the coming field trip to the museum.,2
1136,trip,1.96,2.18,0.2200000000000002,The students were excited about the coming field trip to the museum.,2
1136,to,2.18,2.36,0.17999999999999972,The students were excited about the coming field trip to the museum.,2
1136,the,2.36,2.46,0.10000000000000009,The students were excited about the coming field trip to the museum.,2
1136,museum.,2.46,2.74,0.28000000000000025,The students were excited about the coming field trip to the museum.,2
103,the,0.0,0.08,0.08,the documentary highlights importance of Bader Vs. T in maintaining ecological balance.,2
103,documentary,0.08,0.52,0.44,the documentary highlights importance of Bader Vs. T in maintaining ecological balance.,2
103,highlights,0.52,1.14,0.6199999999999999,the documentary highlights importance of Bader Vs. T in maintaining ecological balance.,2
103,importance,1.14,1.76,0.6200000000000001,the documentary highlights importance of Bader Vs. T in maintaining ecological balance.,2
103,of,1.76,2.1,0.3400000000000001,the documentary highlights importance of Bader Vs. T in maintaining ecological balance.,2
103,Bader,2.1,2.44,0.33999999999999986,the documentary highlights importance of Bader Vs. T in maintaining ecological balance.,2
103,Vs.,2.44,2.9,0.45999999999999996,the documentary highlights importance of Bader Vs. T in maintaining ecological balance.,2
103,T,3.06,3.12,0.06000000000000005,the documentary highlights importance of Bader Vs. T in maintaining ecological balance.,2
103,in,3.12,3.26,0.13999999999999968,the documentary highlights importance of Bader Vs. T in maintaining ecological balance.,2
103,maintaining,3.26,3.7,0.4400000000000004,the documentary highlights importance of Bader Vs. T in maintaining ecological balance.,2
103,ecological,3.7,4.22,0.5199999999999996,the documentary highlights importance of Bader Vs. T in maintaining ecological balance.,2
103,balance.,4.22,4.88,0.6600000000000001,the documentary highlights importance of Bader Vs. T in maintaining ecological balance.,2
1086,the,0.0,0.1,0.1,the company be hiring new employees next month.,2
1086,company,0.1,0.46,0.36,the company be hiring new employees next month.,2
1086,be,0.46,0.68,0.22000000000000003,the company be hiring new employees next month.,2
1086,hiring,0.68,1.1,0.42000000000000004,the company be hiring new employees next month.,2
1086,new,1.1,1.36,0.26,the company be hiring new employees next month.,2
1086,employees,1.36,1.74,0.3799999999999999,the company be hiring new employees next month.,2
1086,next,1.74,2.0,0.26,the company be hiring new employees next month.,2
1086,month.,2.0,2.32,0.31999999999999984,the company be hiring new employees next month.,2
1053,She,0.0,0.28,0.28,She asked him whether he finished the report that was due by the end of the day.,2
1053,asked,0.28,0.54,0.26,She asked him whether he finished the report that was due by the end of the day.,2
1053,him,0.54,0.72,0.17999999999999994,She asked him whether he finished the report that was due by the end of the day.,2
1053,whether,0.72,1.0,0.28,She asked him whether he finished the report that was due by the end of the day.,2
1053,he,1.0,1.18,0.17999999999999994,She asked him whether he finished the report that was due by the end of the day.,2
1053,finished,1.18,1.48,0.30000000000000004,She asked him whether he finished the report that was due by the end of the day.,2
1053,the,1.48,1.72,0.24,She asked him whether he finished the report that was due by the end of the day.,2
1053,report,1.72,2.1,0.3800000000000001,She asked him whether he finished the report that was due by the end of the day.,2
1053,that,2.1,2.42,0.31999999999999984,She asked him whether he finished the report that was due by the end of the day.,2
1053,was,2.42,2.58,0.16000000000000014,She asked him whether he finished the report that was due by the end of the day.,2
1053,due,2.58,2.82,0.23999999999999977,She asked him whether he finished the report that was due by the end of the day.,2
1053,by,2.82,3.02,0.20000000000000018,She asked him whether he finished the report that was due by the end of the day.,2
1053,the,3.02,3.14,0.1200000000000001,She asked him whether he finished the report that was due by the end of the day.,2
1053,end,3.14,3.3,0.1599999999999997,She asked him whether he finished the report that was due by the end of the day.,2
1053,of,3.3,3.42,0.1200000000000001,She asked him whether he finished the report that was due by the end of the day.,2
1053,the,3.42,3.54,0.1200000000000001,She asked him whether he finished the report that was due by the end of the day.,2
1053,day.,3.54,3.72,0.18000000000000016,She asked him whether he finished the report that was due by the end of the day.,2
123,The,0.0,0.14,0.14,The engineering team made substantial progress and developed in the new product prototype.,2
123,engineering,0.14,0.72,0.58,The engineering team made substantial progress and developed in the new product prototype.,2
123,team,0.72,1.14,0.41999999999999993,The engineering team made substantial progress and developed in the new product prototype.,2
123,made,1.14,1.4,0.26,The engineering team made substantial progress and developed in the new product prototype.,2
123,substantial,1.4,2.3,0.8999999999999999,The engineering team made substantial progress and developed in the new product prototype.,2
123,progress,2.3,2.88,0.5800000000000001,The engineering team made substantial progress and developed in the new product prototype.,2
123,and,2.88,3.32,0.43999999999999995,The engineering team made substantial progress and developed in the new product prototype.,2
123,developed,3.32,3.76,0.43999999999999995,The engineering team made substantial progress and developed in the new product prototype.,2
123,in,3.76,4.08,0.3200000000000003,The engineering team made substantial progress and developed in the new product prototype.,2
123,the,4.08,4.26,0.17999999999999972,The engineering team made substantial progress and developed in the new product prototype.,2
123,new,4.26,4.54,0.28000000000000025,The engineering team made substantial progress and developed in the new product prototype.,2
123,product,4.54,4.94,0.40000000000000036,The engineering team made substantial progress and developed in the new product prototype.,2
123,prototype.,4.94,5.86,0.9199999999999999,The engineering team made substantial progress and developed in the new product prototype.,2
1045,The,0.0,0.1,0.1,The professor explained the exam which cover all the material discussed in class this semester.,2
1045,professor,0.1,0.46,0.36,The professor explained the exam which cover all the material discussed in class this semester.,2
1045,explained,0.46,1.02,0.56,The professor explained the exam which cover all the material discussed in class this semester.,2
1045,the,1.02,1.24,0.21999999999999997,The professor explained the exam which cover all the material discussed in class this semester.,2
1045,exam,1.24,1.5,0.26,The professor explained the exam which cover all the material discussed in class this semester.,2
1045,which,1.5,1.7,0.19999999999999996,The professor explained the exam which cover all the material discussed in class this semester.,2
1045,cover,1.7,1.98,0.28,The professor explained the exam which cover all the material discussed in class this semester.,2
1045,all,1.98,2.24,0.26000000000000023,The professor explained the exam which cover all the material discussed in class this semester.,2
1045,the,2.24,2.4,0.1599999999999997,The professor explained the exam which cover all the material discussed in class this semester.,2
1045,material,2.4,2.8,0.3999999999999999,The professor explained the exam which cover all the material discussed in class this semester.,2
1045,discussed,2.8,3.22,0.4200000000000004,The professor explained the exam which cover all the material discussed in class this semester.,2
1045,in,3.22,3.52,0.2999999999999998,The professor explained the exam which cover all the material discussed in class this semester.,2
1045,class,3.52,3.8,0.2799999999999998,The professor explained the exam which cover all the material discussed in class this semester.,2
1045,this,3.8,4.08,0.28000000000000025,The professor explained the exam which cover all the material discussed in class this semester.,2
1045,semester.,4.08,4.54,0.45999999999999996,The professor explained the exam which cover all the material discussed in class this semester.,2
1229,We,0.0,0.14,0.14,We implemented new security measures to protect sensitive data.,2
1229,implemented,0.14,0.46,0.32,We implemented new security measures to protect sensitive data.,2
1229,new,0.46,0.7,0.23999999999999994,We implemented new security measures to protect sensitive data.,2
1229,security,0.7,1.14,0.43999999999999995,We implemented new security measures to protect sensitive data.,2
