label_type,original,cleaned,WER_change,orig_score,clean_score,improved
DEL,the company be hiring new employees next month.,The company will be hiring new employees next month.,0.125,0,0,False
DEL,the company be hiring new employees next month.,The company will be hiring new employees next month.,0.125,0,0,False
DEL,the company be hiring new employees next month.,The company will be hiring new employees next month.,0.125,0,0,False
DEL,the company be hiring new employees next month.,The company will be hiring new employees next month.,0.125,0,0,False
DEL,the company be hiring new employees next month.,The company will be hiring new employees next month.,0.125,0,0,False
DEL,the company be hiring new employees next month.,The company will be hiring new employees next month.,0.125,0,0,False
DEL,the company be hiring new employees next month.,The company will be hiring new employees next month.,0.125,0,0,False
DEL,the company be hiring new employees next month.,The company will be hiring new employees next month.,0.125,0,0,False
DEL,We implemented new security measures to protect sensitive data.,We implemented new security measures to protect sensitive information.,0.1111111111111111,0,0,False
DEL,We implemented new security measures to protect sensitive data.,We implemented new security measures to protect sensitive information.,0.1111111111111111,0,0,False
DEL,We implemented new security measures to protect sensitive data.,We implemented new security measures to protect sensitive information.,0.1111111111111111,0,0,False
DEL,We implemented new security measures to protect sensitive data.,We implemented new security measures to protect our sensitive data.,0.1111111111111111,0,0,False
DEL,We implemented new security measures to protect sensitive data.,We implemented new security measures to protect sensitive information.,0.1111111111111111,0,0,False
DEL,We implemented new security measures to protect sensitive data.,We implemented new security measures to protect sensitive information.,0.1111111111111111,0,0,False
DEL,We implemented new security measures to protect sensitive data.,We implemented new security measures to protect sensitive information.,0.1111111111111111,0,0,False
DEL,We implemented new security measures to protect sensitive data.,We implemented new security measures to protect sensitive information.,0.1111111111111111,0,0,False
DEL,We implemented new security measures to protect sensitive data.,We implemented new security measures to protect sensitive information.,0.1111111111111111,0,0,False
DEL,Can you explain how the new software improves productivity?,How does the new software improve productivity?,0.5555555555555556,0,0,False
DEL,Can you explain how the new software improves productivity?,How does the new software improve productivity?,0.5555555555555556,0,0,False
DEL,Can you explain how the new software improves productivity?,How does the new software boost productivity?,0.5555555555555556,0,0,False
